,,3-class,,4-class,,5-class,
Subject,Session,Zero-shot,Fine-tune,Zero-shot,Fine-tune,Zero-shot,Fine-tune
1,1,64.58%,83.33%,67.92%,73.58%,62.07%,67.24%
1,2,68.75%,81.25%,64.15%,73.58%,67.24%,67.24%
2,1,68.75%,81.25%,66.04%,73.58%,60.34%,68.97%
2,2,39.58%,81.25%,52.83%,73.58%,67.24%,67.24%
3,1,64.58%,81.25%,54.72%,73.58%,62.07%,67.24%
3,2,72.92%,81.25%,67.92%,73.58%,67.24%,67.24%
4,1,54.35%,80.43%,50.98%,72.55%,61.82%,67.27%
4,2,70.83%,81.25%,67.92%,73.58%,65.52%,67.24%
5,1,68.75%,81.25%,69.81%,73.58%,65.52%,67.24%
5,2,72.92%,81.25%,67.92%,73.58%,65.52%,67.24%
avg,,64.60%,81.38%,63.02%,73.48%,64.46%,67.42%
std,,10.327,0.734,7.230,0.328,2.623,0.544
